personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Li Li;1200.00.00;China;Pharmaceuticals;Healthcare;TRUE;2259;59.00.00;M;;
Li Ruiqiang;1200.00.00;China;Medical services;Healthcare;TRUE;2259;43.00.00;M;;
Zhen Li & family;1200.00.00;China;Lithium batteries;Manufacturing;TRUE;2259;59.00.00;M;;
Guangwei Liang;1200.00.00;China;Conglomerate;Manufacturing;TRUE;2259;59.00.00;M;;
Liu Ming Hui;1200.00.00;Hong Kong;Natural gas distribution;Energy;TRUE;2259;60.00.00;M;;
Frederic Luddy;1200.00.00;United States;Software;Technology;TRUE;2259;68.00.00;M;Founder and Chief Product Officer;
Cargill MacMillan; III.;1200.00.00;United States;Cargill;Food & Beverage;FALSE;2259;63.00.00;M;
John MacMillan;1200.00.00;United States;Cargill;Food & Beverage;FALSE;2259;73.00.00;M;;
Martha MacMillan;1200.00.00;United States;Cargill;Food & Beverage;FALSE;2259;71.00.00;F;;
William MacMillan;1200.00.00;United States;Cargill;Food & Beverage;FALSE;2259;68.00.00;M;;
Keshub Mahindra;1200.00.00;India;Diversified;Diversified;FALSE;2259;99.00.00;M;;
Mao Zhongwu;1200.00.00;China;Manufacturing;Manufacturing;TRUE;2259;60.00.00;M;;
Jorge Mas;1200.00.00;United States;Construction;Construction & Engineering;FALSE;2259;60.00.00;M;;
Lorinc Meszaros;1200.00.00;Hungary;Diversified;Diversified;TRUE;2259;57.00.00;M;;
Jeffrey Michael & family;1200.00.00;United States;Data management;Technology;TRUE;2259;66.00.00;M;;
Alan Miller & family;1200.00.00;United States;Healthcare services;Healthcare;TRUE;2259;85.00.00;M;;
Ulrich Mommert & family;1200.00.00;;Lighting;Automotive;TRUE;2259;82.00.00;M;;
Neide Helena de Moraes;1200.00.00;Brazil;Diversified;Diversified;FALSE;2259;68.00.00;F;;
Scott Nuttall;1200.00.00;United States;Private equity;Finance & Investments;TRUE;2259;50.00.00;M;;
Kailashchandra Nuwal;1200.00.00;;Industrial explosives;Manufacturing;FALSE;2259;65.00.00;M;;
Axel Oberwelland & family;1200.00.00;Germany;Candy;Food & Beverage;FALSE;2259;56.00.00;M;;
Jonathan Oringer;1200.00.00;United States;Stock photos;Technology;TRUE;2259;48.00.00;M;;
Vitaly Orlov;1200.00.00;Russia;Fisheries;Food & Beverage;TRUE;2259;58.00.00;M;;
Jose Isaac Peres & family;1200.00.00;Brazil;Shopping malls;Real Estate;TRUE;2259;82.00.00;M;;
Markus Persson;1200.00.00;Sweden;Computer games;Media & Entertainment;TRUE;2259;43.00.00;M;;
Mark Pincus;1200.00.00;United States;Online games;Technology;TRUE;2259;57.00.00;M;Chairman;
Murdaya Poo;1200.00.00;Indonesia;Diversified;Diversified;FALSE;2259;82.00.00;M;;
Forrest Preston;1200.00.00;United States;Health care;Healthcare;TRUE;2259;90.00.00;M;;
Qian Ying;1200.00.00;China;Pig breeding;Food & Beverage;TRUE;2259;57.00.00;F;;
Jimmy Rane;1200.00.00;United States;Lumber;Manufacturing;TRUE;2259;76.00.00;M;;
Andrei Rappoport;1200.00.00;Switzerland;Investments;Finance & Investments;TRUE;2259;59.00.00;M;;
Hugo Ribeiro & family;1200.00.00;Brazil;Agribusiness;Food & Beverage;FALSE;2259;;M;Entrepreneur;
Bennett Rosenthal;1200.00.00;United States;Finance;Finance & Investments;TRUE;2259;59.00.00;M;;
Atul Ruia;1200.00.00;India;Real estate;Real Estate;FALSE;2259;52.00.00;M;;
Thomas Sandell;1200.00.00;United Kingdom;Hedge funds;Finance & Investments;TRUE;2259;62.00.00;M;Founder;
Francesco Saputo;1200.00.00;Canada;Cheese;Food & Beverage;FALSE;2259;;M;;
Dhruv Sawhney;1200.00.00;United Arab Emirates;Engineering, sugar;Construction & Engineering;FALSE;2259;78.00.00;M;;
Gerald Schwartz;1200.00.00;Canada;Finance;Finance & Investments;TRUE;2259;81.00.00;M;;
Antonio Luiz Seabra;1200.00.00;United Kingdom;Cosmetics;Fashion & Retail;TRUE;2259;80.00.00;M;;
Eric Ya Shen;1200.00.00;China;Online apparel retail;Technology;TRUE;2259;52.00.00;M;;
Sytse 'Sid' Sijbrandij;1200.00.00;United States;Software;Technology;TRUE;2259;43.00.00;M;;
Alexander Sixt;1200.00.00;Germany;Car rentals;Automotive;FALSE;2259;43.00.00;M;;
Konstantin Sixt;1200.00.00;Germany;Car rentals;Automotive;FALSE;2259;40.00.00;M;;
Edwin Soeryadjaya;1200.00.00;Indonesia;Coal, investments;Energy;FALSE;2259;73.00.00;M;;
Abhay Soi;1200.00.00;India;Healthcare;Healthcare;TRUE;2259;49.00.00;M;;
Mike Speiser;1200.00.00;United Kingdom;Software;Technology;TRUE;2259;52.00.00;M;Managing Director;
Marco Squinzi;1200.00.00;Italy;Chemical products;Construction & Engineering;FALSE;2259;51.00.00;M;;
Veronica Squinzi;1200.00.00;Italy;Chemical products;Construction & Engineering;FALSE;2259;51.00.00;F;;
Michael Steinhardt;1200.00.00;United States;Hedge funds;Finance & Investments;TRUE;2259;82.00.00;M;;
Ion Stoica;1200.00.00;United States;Data analytics;Technology;TRUE;2259;58.00.00;M;;
Eddy Sugianto;1200.00.00;Indonesia;Coal;Metals & Mining;TRUE;2259;77.00.00;M;;
Luc Tack;1200.00.00;Belgium;Textile, chemicals;Manufacturing;TRUE;2259;61.00.00;M;;
Tony Tan Caktiong;1200.00.00;Philippines;Food;Food & Beverage;TRUE;2259;70.00.00;M;;
Xiuguo Tang;1200.00.00;China;Manufacturing;Manufacturing;TRUE;2259;59.00.00;M;;
Sam Tarascio;1200.00.00;Australia;Real estate;Real Estate;TRUE;2259;78.00.00;M;;
Lina Tombolato;1200.00.00;Italy;Financial services;Finance & Investments;FALSE;2259;75.00.00;F;;
Ching Bor Tung;1200.00.00;China;Manufacturing;Manufacturing;TRUE;2259;60.00.00;M;;
Joop van den Ende;1200.00.00;Netherlands;TV shows;Media & Entertainment;TRUE;2259;81.00.00;M;;
Ruben Vardanyan & family;1200.00.00;Armenia;Investment banking;Finance & Investments;TRUE;2259;54.00.00;M;;
Sandro Veronesi & family;1200.00.00;Italy;Fashion;Fashion & Retail;TRUE;2259;63.00.00;M;;
Thongma Vijitpongpun;1200.00.00;Thailand;Real estate;Real Estate;TRUE;2259;65.00.00;M;;
Thomas von Koch;1200.00.00;Hong Kong;Asset management;Finance & Investments;TRUE;2259;57.00.00;M;;
Wang Fuji;1200.00.00;China;Pharmaceuticals;Healthcare;TRUE;2259;;M;;
Wang Shih-Chung;1200.00.00;Taiwan;Pneumatic equipments;Manufacturing;TRUE;2259;61.00.00;M;;
Wang Xiaoshen;1200.00.00;China;Lithium;Manufacturing;TRUE;2259;54.00.00;M;;
J. Wayne Weaver;1200.00.00;United States;Shoes;Diversified;TRUE;2259;87.00.00;M;;
Drorit Wertheim;1200.00.00;Israel;Coca Cola Israel;Food & Beverage;FALSE;2259;67.00.00;F;;
Cameron Winklevoss;1200.00.00;United States;Cryptocurrency;Finance & Investments;TRUE;2259;41.00.00;M;;
Tyler Winklevoss;1200.00.00;United States;Cryptocurrency;Finance & Investments;TRUE;2259;41.00.00;M;;
Wu Chung-yi;1200.00.00;Taiwan;Manufacturing;Manufacturing;FALSE;2259;67.00.00;M;;
Eugene Wu;1200.00.00;Taiwan;Finance;Finance & Investments;FALSE;2259;77.00.00;M;;
Wu Yonghua;1200.00.00;China;Apparel;Fashion & Retail;TRUE;2259;52.00.00;M;;
Xia Xinde;1200.00.00;China;Batteries;Manufacturing;TRUE;2259;58.00.00;M;;
Wenbo Xiang;1200.00.00;China;Manufacturing;Manufacturing;TRUE;2259;60.00.00;M;;
Xu Jin;1200.00.00;China;Wine;Food & Beverage;TRUE;2259;58.00.00;M;;
Xu Shijun & family;1200.00.00;China;Manufacturing;Manufacturing;TRUE;2259;60.00.00;M;;
Wanmao Xu;1200.00.00;China;Education;Service;TRUE;2259;78.00.00;M;;
Xu Yuejuan;1200.00.00;China;Petro Fibre;Manufacturing;TRUE;2259;61.00.00;F;;
Vadim Yakunin;1200.00.00;Russia;Pharmacy;Healthcare;TRUE;2259;60.00.00;M;;
Yang Yunyun;1200.00.00;China;Retail;Fashion & Retail;TRUE;2259;46.00.00;F;;
Matei Zaharia;1200.00.00;United States;Data analytics;Technology;TRUE;2259;37.00.00;M;;
Zan Shengda;1200.00.00;China;Diversified;Diversified;TRUE;2259;60.00.00;M;;
Zhang Xuezheng;1200.00.00;China;Telecom;Technology;TRUE;2259;47.00.00;M;;
Zhang Yin;1200.00.00;China;Paper manufacturing;Manufacturing;TRUE;2259;66.00.00;F;;
Zhao Ning;1200.00.00;China;Pharmaceuticals;Healthcare;TRUE;2259;56.00.00;F;;
Zhou Wen & family;1200.00.00;China;Chemicals;Manufacturing;TRUE;2259;58.00.00;M;;
Zhu Xingliang;1200.00.00;China;Construction;Construction & Engineering;TRUE;2259;63.00.00;M;;
Hari Krishan Agarwal;1100.00.00;India;Sports shoes;Fashion & Retail;TRUE;2405;66.00.00;M;;
Farkhad Akhmedov;1100.00.00;Russia;Investments;Energy;TRUE;2405;67.00.00;M;;
Prem Kumar Arora;1100.00.00;;Pharmaceuticals;Healthcare;FALSE;2405;84.00.00;M;;
Joseph Bae;1100.00.00;United States;Private equity;Finance & Investments;TRUE;2405;51.00.00;M;;
Abigail Bennett;1100.00.00;United States;Liquor;Food & Beverage;FALSE;2405;42.00.00;F;;
Sara Blakely;1100.00.00;United States;Spanx;Fashion & Retail;TRUE;2405;52.00.00;F;Founder;
Lloyd Blankfein;1100.00.00;United States;Banking;Finance & Investments;TRUE;2405;68.00.00;M;CEO;
Henadiy Boholyubov;1100.00.00;Ukraine;Banking, investments;Diversified;TRUE;2405;61.00.00;M;;
Stephane Bonvin;1100.00.00;Switzerland;Real estate;Real Estate;TRUE;2405;56.00.00;M;;
Oleg Boyko;1100.00.00;Switzerland;Diversified;Diversified;TRUE;2405;58.00.00;M;;
Ryan Breslow;1100.00.00;United States;E-commerce software;Technology;TRUE;2405;28.00.00;M;Cofounder;
Thomas Bruch;1100.00.00;Germany;Retail;Fashion & Retail;FALSE;2405;72.00.00;M;;
Marina Budiman;1100.00.00;Indonesia;Data centers;Technology;TRUE;2405;61.00.00;F;;
