personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Bernard Arnault & family;211000.0;France;LVMH;Fashion & Retail;FALSE;1;74.00.00;M;Chairman and CEO;
Elon Musk;180000.0;United States;Tesla, SpaceX;Automotive;TRUE;2;51.00.00;M;CEO;
Jeff Bezos;114000.0;United States;Amazon;Technology;TRUE;3;59.00.00;M;Chairman and Founder;
Larry Ellison;107000.0;United States;Oracle;Technology;TRUE;4;78.00.00;M;CTO and Founder;
Warren Buffett;106000.0;United States;Berkshire Hathaway;Finance & Investments;TRUE;5;92.00.00;M;CEO;
Bill Gates;104000.0;United States;Microsoft;Technology;TRUE;6;67.00.00;M;Cochair;
Michael Bloomberg;94500.0;United States;Bloomberg LP;Media & Entertainment;TRUE;7;81.00.00;M;CEO;
Carlos Slim Helu & family;93000.0;Mexico;Telecom;Telecom;TRUE;8;83.00.00;M;Honorary Chairman;
Mukesh Ambani;83400.0;India;Diversified;Diversified;FALSE;9;65.00.00;M;Founder and Chairman;
Steve Ballmer;80700.0;United States;Microsoft;Technology;TRUE;10;67.00.00;M;Owner;
Francoise Bettencourt Meyers & family;80500.0;France;L'Oréal;Fashion & Retail;FALSE;11;69.00.00;F;;
Larry Page;79200.0;United States;Google;Technology;TRUE;12;50.00.00;M;Cofounder and board member;
Amancio Ortega;77300.0;Spain;Zara;Fashion & Retail;TRUE;13;87.00.00;M;;
Sergey Brin;76000.0;United States;Google;Technology;TRUE;14;49.00.00;M;Cofounder and board member;
Zhong Shanshan;68000.0;China;Beverages, pharmaceuticals;Food & Beverage;TRUE;15;68.00.00;M;;
Mark Zuckerberg;64400.0;United States;Facebook;Technology;TRUE;16;38.00.00;M;Cofounder;
Charles Koch & family;59000.0;United States;Koch Industries;Diversified;FALSE;17;87.00.00;M;Chairman and CEO;
Julia Koch & family;59000.0;United States;Koch Industries;Diversified;FALSE;17;60.00.00;F;;
Jim Walton;58800.0;United States;Walmart;Fashion & Retail;FALSE;19;74.00.00;M;Chairman and CEO;
Rob Walton & family;57600.0;United States;Walmart;Fashion & Retail;FALSE;20;78.00.00;M;Director;
Alice Walton;56700.0;United States;Walmart;Fashion & Retail;FALSE;21;73.00.00;F;Philanthropist;
David Thomson & family;54400.0;Canada;Media;Media & Entertainment;FALSE;22;65.00.00;M;Chairman;
Michael Dell;50100.0;United States;Dell Technologies;Technology;TRUE;23;58.00.00;M;Chairman and CEO;
Gautam Adani;47200.0;India;Infrastructure, commodities;Diversified;TRUE;24;60.00.00;M;;
Phil Knight & family;45100.0;United States;Nike;Fashion & Retail;TRUE;25;85.00.00;M;Chairman;
Zhang Yiming;45000.0;China;TikTok;Technology;TRUE;26;39.00.00;M;Founder;
Dieter Schwarz;42900.0;Germany;Retail;Fashion & Retail;FALSE;27;83.00.00;M;;
François Pinault & family;40100.0;France;Luxury goods;Fashion & Retail;TRUE;28;86.00.00;M;;
Klaus-Michael Kuehne;39100.0;Switzerland;Shipping;Logistics;FALSE;29;85.00.00;M;;
Giovanni Ferrero;38900.0;Belgium;Nutella, chocolates;Food & Beverage;FALSE;30;58.00.00;M;;
Jacqueline Mars;38300.0;United States;Candy, pet food;Food & Beverage;FALSE;31;83.00.00;F;;
John Mars;38300.0;United States;Candy, pet food;Food & Beverage;FALSE;31;87.00.00;M;;
Li Ka-shing;38000.0;Hong Kong;Diversified;Diversified;TRUE;33;94.00.00;M;Senior Advisor;
Ma Huateng;35300.0;China;Internet media;Technology;TRUE;34;51.00.00;M;Chairman and CEO;
Miriam Adelson & family;35000.0;United States;Casinos;Gambling & Casinos;FALSE;35;77.00.00;F;;
Ken Griffin;35000.0;United States;Hedge funds;Finance & Investments;TRUE;35;54.00.00;M;Founder & CEO;
Mark Mateschitz;34700.0;Austria;Red Bull;Food & Beverage;FALSE;37;30.00.00;M;;
Robin Zeng;33400.0;China;Batteries;Automotive;TRUE;38;54.00.00;M;;
Tadashi Yanai & family;32600.0;Japan;Fashion retail;Fashion & Retail;TRUE;39;74.00.00;M;;
Len Blavatnik;32100.0;United Kingdom;Music, chemicals;Diversified;TRUE;40;65.00.00;M;;
Alain Wertheimer;31600.0;United States;Chanel;Fashion & Retail;FALSE;41;74.00.00;M;;
Gerard Wertheimer;31600.0;United States;Chanel;Fashion & Retail;FALSE;41;72.00.00;M;;
Gianluigi Aponte;31200.0;Switzerland;Shipping;Logistics;TRUE;43;82.00.00;M;;
Rafaela Aponte-Diamant;31200.0;Switzerland;Shipping;Logistics;TRUE;43;78.00.00;F;;
Colin Huang;30200.0;China;E-commerce;Technology;TRUE;45;43.00.00;M;;
Reinhold Wuerth & family;29700.0;Germany;Fasteners;Manufacturing;TRUE;46;87.00.00;M;;
Lee Shau Kee;29500.0;Hong Kong;Real estate;Real Estate;TRUE;47;95.00.00;M;;
Jeff Yass;28500.0;United States;Trading, investments;Finance & Investments;TRUE;48;64.00.00;M;;
Jim Simons;28100.0;United States;Hedge funds;Finance & Investments;TRUE;49;84.00.00;M;Founder;
Stephen Schwarzman;27800.0;United States;Investments;Finance & Investments;TRUE;50;76.00.00;M;Chairman and CEO;
Susanne Klatten;27400.0;Germany;BMW, pharmaceuticals;Automotive;FALSE;51;60.00.00;F;;
Gina Rinehart;27000.0;Australia;Mining;Metals & Mining;FALSE;52;69.00.00;F;Executive Chairman;
William Ding;26700.0;China;Online games;Technology;TRUE;53;51.00.00;M;;
Germán Larrea Mota Velasco & family;26600.0;Mexico;Mining;Metals & Mining;FALSE;54;69.00.00;M;;
Shiv Nadar;25600.0;India;software services;Technology;TRUE;55;77.00.00;M;;
Low Tuck Kwong;25500.0;Indonesia;Coal;Energy;TRUE;56;74.00.00;M;;
Thomas Peterffy;25300.0;United States;Discount brokerage;Finance & Investments;TRUE;57;78.00.00;M;;
Andrey Melnichenko & family;25200.0;United Arab Emirates;Fertilizers, coal;Metals & Mining;TRUE;58;51.00.00;M;;
Stefan Quandt;24600.0;Germany;BMW;Automotive;FALSE;59;56.00.00;M;;
MacKenzie Scott;24400.0;United States;Amazon;Technology;FALSE;60;52.00.00;F;Philanthropist;
R. Budi Hartono;24200.0;Indonesia;Banking, tobacco;Finance & Investments;FALSE;61;82.00.00;M;;
Vladimir Potanin;23700.0;Russia;Metals;Metals & Mining;TRUE;62;62.00.00;M;;
Jack Ma;23500.0;China;E-commerce;Technology;TRUE;63;58.00.00;M;;
He Xiangjian & family;23400.0;China;Home appliances;Manufacturing;TRUE;64;80.00.00;M;;
Iris Fontbona & family;23100.0;Chile;Mining;Metals & Mining;FALSE;65;80.00.00;F;;
Michael Hartono;23100.0;Indonesia;Banking, tobacco;Manufacturing;FALSE;65;83.00.00;M;;
James Ratcliffe;22900.0;United Kingdom;Chemicals;Manufacturing;TRUE;67;70.00.00;M;;
Cyrus Poonawalla;22600.0;India;Vaccines;Healthcare;FALSE;68;81.00.00;M;;
Masayoshi Son;22400.0;Japan;Internet, telecom;Telecom;TRUE;69;65.00.00;M;CEO;
Vladimir Lisin;22100.0;Russia;Steel, transport;Metals & Mining;TRUE;70;66.00.00;M;;
Emmanuel Besnier;22000.0;France;Cheese;Food & Beverage;FALSE;71;52.00.00;M;;
Abigail Johnson;21600.0;United States;Fidelity;Finance & Investments;FALSE;72;61.00.00;F;CEO;
Leonid Mikhelson & family;21600.0;Russia;Gas, chemicals;Energy;TRUE;72;67.00.00;M;;
Lukas Walton;21200.0;United States;Walmart;Fashion & Retail;FALSE;74;36.00.00;M;;
Wang Wei;21200.0;China;Package delivery;Service;TRUE;74;52.00.00;M;;
Jensen Huang;21100.0;United States;Semiconductors;Technology;TRUE;76;60.00.00;M;CEO & President;
Leonard Lauder;21000.0;United States;Estee Lauder;Fashion & Retail;FALSE;77;90.00.00;M;Chairman Emeritus;
Takemitsu Takizaki;21000.0;Japan;Sensors;Manufacturing;TRUE;77;77.00.00;M;;
Alexey Mordashov & family;20900.0;Russia;Steel, investments;Metals & Mining;TRUE;79;57.00.00;M;;
Vagit Alekperov;20500.0;Russia;Oil;Energy;TRUE;80;72.00.00;M;;
Thomas Frist; Jr. & family;20200.0;United States;Hospitals;Healthcare;TRUE;81;84.00.00;M;
Andrew Forrest;19600.0;Australia;Mining;Metals & Mining;TRUE;82;61.00.00;M;;
Ray Dalio;19100.0;United States;Hedge funds;Finance & Investments;TRUE;83;73.00.00;M;Founder & Co-Chief Investment Officer;
Eric Li;19000.0;China;Automobiles;Automotive;TRUE;84;59.00.00;M;;
Wang Wenyin;19000.0;China;Mining, copper products;Metals & Mining;TRUE;84;55.00.00;M;;
Eyal Ofer;18900.0;Monaco;Real estate, shipping;Diversified;FALSE;86;72.00.00;M;;
Qin Yinglin;18900.0;China;Pig breeding;Food & Beverage;TRUE;86;57.00.00;M;;
Wang Chuanfu;18700.0;China;Batteries, automobiles;Automotive;TRUE;88;57.00.00;M;;
Harold Hamm & family;18500.0;United States;Oil & gas;Energy;TRUE;89;77.00.00;M;Chairman and CEO;
David Tepper;18500.0;United States;Hedge funds;Finance & Investments;TRUE;89;65.00.00;M;President and Founder;
Gennady Timchenko;18500.0;Russia;Oil, gas;Energy;TRUE;89;70.00.00;M;;
Daniel Gilbert;18000.0;United States;Quicken Loans;Finance & Investments;TRUE;92;61.00.00;M;;
Lakshmi Mittal;17700.0;United Kingdom;Steel;Metals & Mining;FALSE;93;72.00.00;M;Chairman and CEO;
Steve Cohen;17500.0;United States;Hedge funds;Finance & Investments;TRUE;94;66.00.00;M;Founder;
Carl Icahn;17500.0;United States;Investments;Finance & Investments;TRUE;94;87.00.00;M;Founder;
Savitri Jindal & family;17500.0;India;Steel;Metals & Mining;FALSE;94;73.00.00;F;;
Donald Bren;17400.0;United States;Real estate;Real Estate;TRUE;97;90.00.00;M;Chairman;
John Menard; Jr.;17400.0;United States;Home improvement stores;Fashion & Retail;TRUE;97;83.00.00;M;Founder
Rupert Murdoch & family;17100.0;United States;Newspapers, TV network;Media & Entertainment;FALSE;99;92.00.00;M;Chairman and CEO;
Vicky Safra & family;16700.0;Switzerland;Banking;Finance & Investments;FALSE;100;70.00.00;F;;
Theo Albrecht; Jr. & family;16500.0;Germany;Aldi, Trader Joe's;Fashion & Retail;FALSE;101;72.00.00;M;
Renata Kellnerova & family;16500.0;Czech Republic;Finance, telecommunications;Finance & Investments;FALSE;101;55.00.00;F;;
Li Xiting;16300.0;China;medical devices;Healthcare;TRUE;103;72.00.00;M;;
Stefan Persson;16200.0;Sweden;H&M;Fashion & Retail;FALSE;104;75.00.00;M;Chairman;
Eric Schmidt;16200.0;United States;Google;Technology;TRUE;104;67.00.00;M;;
Michael Platt;16000.0;Switzerland;Hedge funds;Finance & Investments;TRUE;106;55.00.00;M;Founder ;
Pang Kang;15900.0;China;Soy sauce;Food & Beverage;TRUE;107;67.00.00;M;;
Karl Albrecht Jr. & family;15800.0;Germany;Supermarkets;Fashion & Retail;FALSE;108;;M;;
Beate Heister;15800.0;;Supermarkets;Fashion & Retail;FALSE;108;;F;;
Jorge Paulo Lemann & family;15800.0;Switzerland;Beer;Food & Beverage;TRUE;108;83.00.00;M;Investor, Philanthropist;
Peter Woo;15800.0;Hong Kong;Real estate;Real Estate;FALSE;108;76.00.00;M;;
Dilip Shanghvi;15600.0;India;Pharmaceuticals;Healthcare;TRUE;112;67.00.00;M;;
Robert Pera;15500.0;United States;Wireless networking;Technology;TRUE;113;45.00.00;M;Chief Executive Officer;
Radhakishan Damani;15300.0;India;Retail, investments;Fashion & Retail;TRUE;114;68.00.00;M;;
Huang Shilin;15200.0;China;Batteries;Automotive;TRUE;115;56.00.00;M;;
Dhanin Chearavanont;14900.0;Thailand;Diversified;Diversified;FALSE;116;83.00.00;M;;
David Green & family;14900.0;United States;Retail;Fashion & Retail;TRUE;116;81.00.00;M;CEO;
Charoen Sirivadhanabhakdi;14800.0;Thailand;Alcohol, real estate;Food & Beverage;TRUE;118;78.00.00;M;;
Charlene de Carvalho-Heineken & family;14700.0;United Kingdom;Heineken;Food & Beverage;FALSE;119;68.00.00;F;;
Xu Hang;14600.0;China;Medical devices;Healthcare;TRUE;120;60.00.00;M;;
Wei Jianjun & family;14500.0;China;Automobiles;Automotive;TRUE;121;59.00.00;M;;
Alisher Usmanov;14400.0;Uzbekistan;Steel, telecom, investments;Metals & Mining;TRUE;122;69.00.00;M;Founder;
Goh Cheng Liang;14300.0;Singapore;Paints;Manufacturing;TRUE;123;95.00.00;M;;
Kumar Birla;14200.0;India;Commodities;Diversified;FALSE;124;55.00.00;M;;
Aliko Dangote;14200.0;Nigeria;Cement, sugar;Manufacturing;TRUE;124;65.00.00;M;CEO;
Kwong Siu-hing;14100.0;Hong Kong;Real estate;Real Estate;FALSE;126;93.00.00;F;;
Idan Ofer;14000.0;United Kingdom;Shipping;Diversified;FALSE;127;67.00.00;M;;
Chen Bang;13900.0;China;Hospitals;Healthcare;TRUE;128;57.00.00;M;;
Lui Che Woo;13900.0;Hong Kong;Casinos/hotels;Gambling & Casinos;TRUE;128;94.00.00;M;;
John Fredriksen;13700.0;United Kingdom;Shipping;Logistics;TRUE;130;78.00.00;M;Investor;
Diane Hendricks;13700.0;United States;Building supplies;Construction & Engineering;TRUE;130;76.00.00;F;Cofounder;
Jan Koum;13700.0;United States;WhatsApp;Technology;TRUE;130;47.00.00;M;CEO, cofounder;
Jerry Jones;13300.0;United States;Dallas Cowboys;Sports;TRUE;133;80.00.00;M;President and General Manager;
George Kaiser;13300.0;United States;Oil & gas, banking;Energy;FALSE;133;80.00.00;M;Chairman;
Joseph Lau;13300.0;Hong Kong;Real estate;Real Estate;TRUE;133;71.00.00;M;;
Lu Xiangyang;13200.0;China;Automobiles, batteries;Automotive;TRUE;136;60.00.00;M;;
Harry Triguboff;13100.0;Australia;Real estate;Real Estate;TRUE;137;90.00.00;M;;
Uday Kotak;12900.0;India;Banking;Finance & Investments;TRUE;138;64.00.00;M;;
Stanley Kroenke;12900.0;United States;Sports, real estate;Sports;TRUE;138;75.00.00;M;;
Mikhail Fridman;12600.0;United Kingdom;Oil, banking, telecom;Energy;TRUE;140;58.00.00;M;;
Sarath Ratanavadi;12300.0;Thailand;Energy;Energy;TRUE;141;57.00.00;M;;
Dang Yanbao;12200.0;China;Coal;Metals & Mining;TRUE;142;50.00.00;M;;
Jiang Rensheng & family;12200.0;China;Vaccines;Healthcare;TRUE;142;69.00.00;M;;
Shahid Khan;12100.0;United States;Auto parts;Automotive;TRUE;144;72.00.00;M;;
Laurene Powell Jobs & family;12000.0;United States;Apple, Disney;Technology;FALSE;145;59.00.00;F;Investor, Philanthropist;
Robert Kuok;11800.0;Hong Kong;Palm oil, shipping, property;Diversified;TRUE;146;99.00.00;M;;
Stephen Ross;11600.0;United States;Real estate;Real Estate;TRUE;147;82.00.00;M;;
Pavel Durov;11500.0;United Arab Emirates;Messaging app;Technology;TRUE;148;38.00.00;M;;
Andreas Struengmann & family;11500.0;Germany;Pharmaceuticals;Healthcare;TRUE;148;73.00.00;M;;
Thomas Struengmann & family;11500.0;Germany;Pharmaceuticals;Healthcare;TRUE;148;73.00.00;M;;
Liu Hanyuan;11400.0;China;Agribusiness;Food & Beverage;TRUE;151;59.00.00;M;;
Michael Rubin;11400.0;United States;Online retail;Fashion & Retail;TRUE;151;50.00.00;M;CEO;
Israel Englander;11300.0;United States;Hedge funds;Finance & Investments;TRUE;153;74.00.00;M;Founder;
Viatcheslav Kantor;11300.0;Israel;Fertilizer, real estate;Manufacturing;TRUE;153;69.00.00;M;;
Anthony Pratt;11300.0;Australia;Manufacturing;Manufacturing;FALSE;153;62.00.00;M;;
Mikhail Prokhorov;11300.0;Switzerland;Investments;Finance & Investments;TRUE;153;57.00.00;M;;
Giorgio Armani;11100.0;Italy;Luxury goods;Fashion & Retail;TRUE;157;88.00.00;M;;
Johann Rupert & family;11100.0;South Africa;Luxury goods;Fashion & Retail;FALSE;157;72.00.00;M;;
Gong Hongjia & family;11000.0;Hong Kong;Video surveillance;Finance & Investments;TRUE;159;58.00.00;M;;
Zhang Zhidong;11000.0;China;Internet media;Technology;TRUE;159;51.00.00;M;;
Philip Anschutz;10900.0;United States;Energy, sports, entertainment;Finance & Investments;FALSE;161;83.00.00;M;;
Judy Love & family;10900.0;United States;Gas stations;Fashion & Retail;TRUE;161;85.00.00;F;Chairman and CEO;
Ricardo Salinas Pliego & family;10900.0;Mexico;Retail, media;Fashion & Retail;FALSE;161;67.00.00;M;;
Donald Newhouse;10700.0;United States;Media;Media & Entertainment;FALSE;164;93.00.00;M;;
Robert Kraft;10600.0;United States;Manufacturing, New England Patriots;Sports;TRUE;165;81.00.00;M;Chairman & CEO;
Marcel Herrmann Telles & family;10600.0;Brazil;Beer;Food & Beverage;TRUE;165;73.00.00;M;;
Suleiman Kerimov & family;10500.0;Russia;Gold;Finance & Investments;TRUE;167;57.00.00;M;;
Sky Xu;10500.0;China;E-commerce;Fashion & Retail;TRUE;167;39.00.00;M;;
Changpeng Zhao;10500.0;United Arab Emirates;Cryptocurrency exchange;Finance & Investments;TRUE;167;45.00.00;M;;
Andrew Beal;10300.0;United States;Banks, real estate;Finance & Investments;TRUE;170;70.00.00;M;;
Mike Cannon-Brookes;10200.0;Australia;Software;Technology;TRUE;171;43.00.00;M;;
Carl Cook;10200.0;United States;Medical devices;Healthcare;FALSE;171;60.00.00;M;;
David Duffield;10200.0;United States;Business software;Technology;TRUE;171;82.00.00;M;Chairman and Cofounder;
Jeffery Hildebrand;10200.0;United States;Oil;Energy;TRUE;171;64.00.00;M;;
Viktor Rashnikov;10200.0;Russia;Steel;Manufacturing;TRUE;171;74.00.00;M;;
Eduardo Saverin;10200.0;Singapore;Facebook;Technology;TRUE;171;41.00.00;M;Investor;
Georg Schaeffler;10200.0;Germany;Auto parts;Automotive;FALSE;171;58.00.00;M;;
Christy Walton;10200.0;United States;Walmart;Fashion & Retail;FALSE;171;74.00.00;F;;
Scott Farquhar;10100.0;Australia;Software;Technology;TRUE;179;43.00.00;M;;
Quek Leng Chan;10100.0;Malaysia;Banking, property;Diversified;FALSE;179;81.00.00;M;;
Wu Yajun;10100.0;China;Real estate;Real Estate;TRUE;179;59.00.00;F;;
Autry Stephens;10000.0;United States;Oil;Energy;TRUE;182;85.00.00;M;;
Liu Yongxing;9900.00.00;China;Diversified;Service;TRUE;183;74.00.00;M;Chairman;
Vinod Adani;9800.00.00;United Arab Emirates;Infrastructure, commodities;Diversified;TRUE;184;74.00.00;M;;
Nicolas Puech;9800.00.00;Switzerland;Hermes;Fashion & Retail;FALSE;184;80.00.00;M;;
Jacques Saadé; Jr.;9800.00.00;France;Shipping;Logistics;FALSE;184;51.00.00;M;
Rodolphe Saadé;9800.00.00;France;Shipping;Logistics;FALSE;184;53.00.00;M;Chairman and CEO;
Tanya Saadé Zeenny;9800.00.00;France;Shipping;Logistics;FALSE;184;55.00.00;F;;
Melker Schorling & family;9800.00.00;Sweden;Investments;Finance & Investments;TRUE;184;75.00.00;M;;
Andrei Guryev & family;9700.00.00;Russia;Fertilizers;Manufacturing;TRUE;190;63.00.00;M;;
Michael Kim;9700.00.00;South Korea;Private equity;Finance & Investments;TRUE;190;59.00.00;M;;
Lei Jun;9700.00.00;China;Smartphones;Technology;TRUE;190;53.00.00;M;Founder and CEO;
Friedhelm Loh;9700.00.00;Germany;Manufacturing;Manufacturing;FALSE;190;76.00.00;M;;
Sun Piaoyang;9700.00.00;China;Pharmaceuticals;Healthcare;TRUE;190;64.00.00;M;;
Rick Cohen & family;9600.00.00;United States;Warehouse automation;Technology;FALSE;195;70.00.00;M;Entrepreneur;
Jin Baofang;9600.00.00;China;Solar panels;Energy;TRUE;195;70.00.00;M;;
Luo Liguo & family;9600.00.00;China;Chemicals;Manufacturing;TRUE;195;67.00.00;M;;
Marijke Mars;9600.00.00;United States;Candy, pet food;Food & Beverage;FALSE;195;58.00.00;F;;
Pamela Mars;9600.00.00;United States;Candy, pet food;Food & Beverage;FALSE;195;62.00.00;F;;
Valerie Mars;9600.00.00;United States;Candy, pet food;Food & Beverage;FALSE;195;64.00.00;F;;
Victoria Mars;9600.00.00;United States;Candy, pet food;Food & Beverage;FALSE;195;66.00.00;F;;
Vincent Bolloré & family;9500.00.00;France;Investments;Finance & Investments;FALSE;202;71.00.00;M;;
Jim Pattison;9500.00.00;Canada;Diversified;Diversified;TRUE;202;94.00.00;M;Founder, Chairman and CEO;
Ernesto Bertarelli;9400.00.00;Switzerland;Biotech, investments;Healthcare;FALSE;204;57.00.00;M;;
Wang Xing;9400.00.00;China;Food delivery;Technology;TRUE;204;44.00.00;M;;
Brian Chesky;9300.00.00;United States;Airbnb;Technology;TRUE;206;41.00.00;M;CEO and Cofounder;
James Dyson;9300.00.00;United Kingdom;Vacuums;Manufacturing;TRUE;206;75.00.00;M;;
Roman Abramovich & family;9200.00.00;Russia;Steel, investments;Diversified;TRUE;208;56.00.00;M;;
Antonia Ax:son Johnson & family;9200.00.00;Sweden;Diversified;Diversified;FALSE;208;79.00.00;F;;
Daniel Kretinsky;9200.00.00;Czech Republic;Energy, investments;Energy;TRUE;208;47.00.00;M;;
John Malone;9200.00.00;United States;Cable television;Media & Entertainment;TRUE;208;82.00.00;M;;
Azim Premji;9200.00.00;India;Software services;Technology;FALSE;208;77.00.00;M;Founder Chairman;
Charles Schwab;9200.00.00;United States;Discount brokerage;Finance & Investments;TRUE;208;85.00.00;M;Investor;
Eric Smidt;9200.00.00;United States;Hardware stores;Fashion & Retail;TRUE;208;63.00.00;M;;
David Cheriton;9000.00.00;United States;Google;Technology;TRUE;215;72.00.00;M;Professor;
Ivan Glasenberg;9000.00.00;Switzerland;Mining;Metals & Mining;TRUE;215;66.00.00;M;;
Alexander Otto;9000.00.00;Germany;Real estate;Real Estate;FALSE;215;55.00.00;M;;
Anthony von Mandl;9000.00.00;Canada;Alcoholic beverages;Food & Beverage;TRUE;215;73.00.00;M;;
Wang Liping & family;9000.00.00;China;Hydraulic machinery;Manufacturing;TRUE;215;57.00.00;M;;
Finn Rausing;8900.00.00;United Kingdom;Packaging;Food & Beverage;FALSE;220;68.00.00;M;;
Jorn Rausing;8900.00.00;United Kingdom;Packaging;Food & Beverage;FALSE;220;63.00.00;M;;
Kirsten Rausing;8900.00.00;United Kingdom;Packaging;Food & Beverage;FALSE;220;70.00.00;F;;
Tatyana Bakalchuk;8800.00.00;Russia;Ecommerce;Fashion & Retail;TRUE;223;47.00.00;F;;
John Doerr;8800.00.00;United States;Venture capital;Technology;TRUE;223;71.00.00;M;Investor;
Richard Liu;8800.00.00;China;E-commerce;Technology;TRUE;223;49.00.00;M;;
Dustin Moskovitz;8800.00.00;United States;Facebook;Technology;TRUE;223;38.00.00;M;Cofounder;
Pierre Omidyar;8800.00.00;United States;EBay, PayPal;Technology;TRUE;223;55.00.00;M;Founder;
Pei Zhenhua;8800.00.00;China;Batteries;Energy;TRUE;223;64.00.00;M;;
Carrie Perrodo & family;8800.00.00;United Kingdom;Oil;Energy;FALSE;223;72.00.00;F;Philanthropist;
Chen Jianhua;8700.00.00;China;Chemicals;Manufacturing;TRUE;230;52.00.00;M;;
Michael Otto;8700.00.00;Germany;Retail, real estate;Fashion & Retail;FALSE;230;79.00.00;M;;
Leon Black;8600.00.00;United States;Private equity;Finance & Investments;TRUE;232;71.00.00;M;;
Graeme Hart;8600.00.00;New Zealand;Investments;Finance & Investments;TRUE;232;67.00.00;M;;
Ravi Jaipuria;8600.00.00;India;Soft drinks, fast food;Food & Beverage;FALSE;232;68.00.00;M;;
Hasso Plattner & family;8600.00.00;Germany;Software;Technology;TRUE;232;79.00.00;M;;
Carlos Alberto Sicupira & family;8600.00.00;Switzerland;Beer;Food & Beverage;TRUE;232;75.00.00;M;;
Manuel Villar;8600.00.00;Philippines;Real estate;Real Estate;TRUE;232;73.00.00;M;;
Andreas von Bechtolsheim & family;8600.00.00;United States;Google;Technology;TRUE;232;67.00.00;M;Cofounder, Chief Development Officer and Chairman;
Chase Coleman; III.;8500.00.00;United States;Investments;Finance & Investments;TRUE;239;47.00.00;M;Investor
Ann Walton Kroenke;8500.00.00;United States;Walmart;Fashion & Retail;FALSE;239;74.00.00;F;;
Li Zhenguo & family;8500.00.00;China;Solar wafers and modules;Manufacturing;TRUE;239;55.00.00;M;;
Jim Kennedy;8400.00.00;United States;Media, automotive;Media & Entertainment;FALSE;242;75.00.00;M;Chairman Emeritus;
Nicky Oppenheimer & family;8400.00.00;South Africa;Diamonds;Metals & Mining;FALSE;242;77.00.00;M;;
Blair Parry-Okeden;8400.00.00;Australia;Media, automotive;Media & Entertainment;FALSE;242;72.00.00;F;;
Zheng Shuliang & family;8400.00.00;China;Aluminum products;Metals & Mining;FALSE;242;77.00.00;F;;
John Morris;8300.00.00;United States;Sporting goods retail;Fashion & Retail;TRUE;246;75.00.00;M;;
Stefano Pessina;8300.00.00;Monaco;Drugstores;Fashion & Retail;FALSE;246;81.00.00;M;;
Francine von Finck & family;8300.00.00;Switzerland;Investments;Finance & Investments;FALSE;246;;F;;
Francis Choi;8200.00.00;Hong Kong;Real estate;Real Estate;TRUE;249;75.00.00;M;;
German Khan;8200.00.00;Russia;Oil, banking, telecom;Energy;TRUE;249;61.00.00;M;;
Abdulsamad Rabiu;8200.00.00;Nigeria;Cement, sugar;Diversified;FALSE;249;62.00.00;M;;
George Roberts;8200.00.00;United States;Private equity;Finance & Investments;TRUE;249;79.00.00;M;;
Kushal Pal Singh;8200.00.00;India;Real estate;Real Estate;FALSE;249;91.00.00;M;;
Wang Jianlin;8200.00.00;China;Real estate;Real Estate;TRUE;249;68.00.00;M;Chairman;
Yang Huiyan & family;8200.00.00;China;Real estate;Real Estate;FALSE;249;41.00.00;F;;
Laurent Dassault;8100.00.00;France;Diversified;Diversified;FALSE;256;69.00.00;M;;
Thierry Dassault;8100.00.00;France;Diversified;Diversified;FALSE;256;66.00.00;M;;
Tilman Fertitta;8100.00.00;United States;Houston Rockets, entertainment;Food & Beverage;TRUE;256;65.00.00;M;Chairman and CEO;
Marie-Hélène Habert-Dassault;8100.00.00;France;Diversified;Diversified;FALSE;256;58.00.00;F;;
Karel Komarek;8100.00.00;Switzerland;Oil and gas, IT, lotteries;Gambling & Casinos;TRUE;256;54.00.00;M;;
Nathan Blecharczyk;8000.00.00;United States;Airbnb;Technology;TRUE;261;39.00.00;M;;
Leonid Fedun;8000.00.00;Russia;Oil;Energy;TRUE;261;66.00.00;M;;
Bernard Marcus;8000.00.00;United States;Home Depot;Fashion & Retail;TRUE;261;93.00.00;M;Co-founder, ex chairman of the board;
Patrick Ryan;8000.00.00;United States;Insurance;Finance & Investments;TRUE;261;85.00.00;M;Chairman and CEO;
Robert F. Smith;8000.00.00;United States;Private equity;Finance & Investments;TRUE;261;60.00.00;M;Investor;
Pavel Tykac;8000.00.00;Czech Republic;Coal mines;Metals & Mining;TRUE;261;58.00.00;M;;
Eric Wittouck;8000.00.00;Monaco;Investments;Finance & Investments;FALSE;261;76.00.00;M;;
Orlando Bravo;7900.00.00;United States;Private equity;Finance & Investments;TRUE;268;52.00.00;M;;
Ding Shizhong;7900.00.00;China;Sports apparel;Fashion & Retail;TRUE;268;52.00.00;M;;
Nancy Walton Laurie;7900.00.00;United States;Walmart;Fashion & Retail;FALSE;268;71.00.00;F;;
Jay Y. Lee;7900.00.00;South Korea;Samsung;Technology;FALSE;268;54.00.00;M;;
Ramzi Musallam;7900.00.00;United States;Private equity;Finance & Investments;TRUE;268;54.00.00;M;;
David Shaw;7900.00.00;United States;Hedge funds;Finance & Investments;TRUE;268;72.00.00;M;Founder;
Andrei Skoch & family;7900.00.00;Russia;Metals and mining;Metals & Mining;TRUE;268;57.00.00;M;;
Georg Stumpf;7900.00.00;Austria;Real estate, construction;Diversified;TRUE;268;50.00.00;M;;
